"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots","sum_t","Region","kJ_t_N","N_total_kj"
"166","Puerto_Rico",0,0,6.49013659665949,0,0,0,0,0,0.499985831009055,6.99012242766855,"Latin_America",29607941.5078667,206963135.971237
"167","Qatar",0.931275327273077,0,5.69135055399372,0,0,8.45499134959422,0,0,0.0185179937410761,15.0961352246021,"Middle_East",29607941.5078667,446965488.724864
"168","Réunion",0,1.39581951382416,41.711608665454,0,0,0,11.9481591336603,1926.9140877104,1.24687824523246,1983.21655326857,"Africa",29607941.5078667,58718959706.6088
"169","Romania",216158.994996746,140.430607553366,424630.488679607,2007.73262862592,0,30115.0319660114,59420.4226408186,0,28166.3858269111,760639.487346273,"Central_European_countries",35858506.9373052,27275396333794.6
"170","Russian_Federation",371851.652342174,12309.2650448143,51812.7386199794,1591.94479898288,0,171736.142846667,15217.1532420815,0,49470.6114999272,673989.508394626,"CIS",32815468.5045522,22117281485122.5
"171","Rwanda",259.799947550098,148.864151149346,2222.94667054738,165.811457266689,0,1097.09788189032,173.900612342129,158.313608652213,1416.29319730498,5643.02752670315,"Africa",29607941.5078667,167078428937.909
"172","Saint_Kitts_and_Nevis",0,0,0,0,0,0,0.322923219828658,0,0.0802446395446631,0.403167859373321,"Latin_America",29607941.5078667,11936970.3981771
"173","Saint_Lucia",0,0,0,0,0,0,0,0,2.04932464067909,2.04932464067909,"Latin_America",29607941.5078667,60676284.0918564
"174","Saint_Vincent_and_the_Grenadines",0,0,0.998482553332229,0,0,0,3.22923219828658,57.7844671580577,0.2839425706965,62.296124480373,"Latin_America",29607941.5078667,1844460009.78167
"175","Samoa",0,0,0.998482553332231,0,0,0,0,0.0791568043261063,0.148143949928608,1.22578330758695,"Other_Asia",30430384.3275296,37301057.1521412
"176","Sao_Tome_and_Principe",0,0,24.9620638333058,0,11.1878136123214,0,0,0,3.64187210241163,39.7917495480388,"Africa",29607941.5078667,1178151793.11401
